id,example_ja,example_zh
n1_0045,先生は「融通が利かない」という例を挙げた。,老師舉了「不懂變通」這個例子。
n1_0046,資料の中で「その点は容認しにくい」が使われている。,資料中使用了「這一點難以接受」。
n1_0047,発表では「他国の領域を侵す」と説明した。,發表時說明為「侵犯他國領域」。
n1_0048,老朽化について議論が続いている。,關於「老化、老舊化」的討論仍在持續。
n1_0049,会議で「煩わしい手続き」という表現を使った。,會議中用了「煩瑣的手續」這個表達。
n1_0050,標準化について慎重に検討した。,針對「標準化」進行了審慎檢討。
n1_0051,筆者は「あくせく」を用いて、前後の文脈のつながりをより明確にしています。,作者使用「あくせく」，讓前後文的連結更加明確。
n1_0052,「有様」について調べた。,查了「樣子、狀況」這個詞。
n1_0053,発表では「いささかの疑いもない」と説明した。,發表時說明為「毫無疑問」。
n1_0054,授業で「一同」という語を扱った。,課堂上學到「全體、大家」這個詞。
n1_0055,会議で「問題を一括して処理する」という表現を使った。,會議中用了「統一解決問題」這個表達。
n1_0056,「一挙」について調べた。,查了「一舉」這個詞。
n1_0057,先生は「一切きみに任せる」という例を挙げた。,老師舉了「一切委託給你」這個例子。
n1_0058,授業で「一心」という語を扱った。,課堂上學到「一心、專心」這個詞。
n1_0059,発表では「いやいや仕事をする」と説明した。,發表時說明為「不情願地工作」。
n1_0060,伝統芸能を受け継ぐ。,傳承傳統技藝。
n1_0061,会議で「本心を打ち明ける」という表現を使った。,會議中用了「說出心裡話」這個表達。
n1_0062,この場面で「自惚れる」と表現できるか確認した。,確認這個情境能不能用「自負、自滿」來表達。
n1_0063,先生は「円満に解決する」という例を挙げた。,老師舉了「圓滿解決」這個例子。
n1_0064,筆者は「おどおど」を用いて、前後の文脈のつながりをより明確にしています。,作者使用「おどおど」，讓前後文的連結更加明確。
n1_0065,この場面で「重んじる」と表現できるか確認した。,確認這個情境能不能用「重視」來表達。
n1_0066,授業で「掛け替え」という語を扱った。,課堂上學到「替代品」這個詞。
n1_0067,入れ物が大きいのでかさばる。,因為容器很大，所以很佔空間
n1_0068,加算について慎重に検討した。,針對「加算」進行了審慎檢討。
n1_0069,先生は「かすかに聞こえる」という例を挙げた。,老師舉了「略微聽到」這個例子。
n1_0070,授業で「片言」という語を扱った。,課堂上學到「只言片語、不流利的話」這個詞。
n1_0071,機能とデザインの兼ね合いが難しい。,兼顧機能與設計是件難事
n1_0072,息子をかばう。,袒護兒子。
n1_0073,文章では「被れる」を慎重に使う。,寫文章時要謹慎使用「起疹、受影響」。
n1_0074,この場面で「噛み締める」と表現できるか確認した。,確認這個情境能不能用「咬緊、細細體會」來表達。
n1_0075,文章中に「貫禄」が出てきた。,文章中出現了「威嚴、派頭」這個詞。
n1_0076,資料の中で「効き目の早い薬」が使われている。,資料中使用了「見效快的藥」。
n1_0077,この場面で「軋む」と表現できるか確認した。,確認這個情境能不能用「嘎吱作響」來表達。
n1_0078,気まぐれな天気。,乍晴乍陰的天氣。
n1_0079,心臓に異変を感じ、急遽病院に行った。,感覺心臟有些異常，匆忙去了醫院
n1_0080,記事には「共感を覚える」と書かれていた。,報導中寫著「有同感」。
n1_0081,先生は「恵まれた境遇にある」という例を挙げた。,老師舉了「得天獨厚的環境」這個例子。
n1_0082,状況はしだいに煌びやかになり、冷静な判断が求められました。,情況逐漸變得「華麗耀眼」，因此需要冷靜判斷。
n1_0083,発表では「転んで足をくじく」と説明した。,發表時說明為「摔倒扭傷腳」。
n1_0084,15キロも走ったのでほんとうにくたびれてしまった。,跑了十五公里路，真累壞了
n1_0085,文章では「口ずさむ」を慎重に使う。,寫文章時要謹慎使用「哼唱」。
n1_0086,軽蔑について慎重に検討した。,針對「輕蔑」進行了審慎檢討。
n1_0087,先生は「人の作品をけなす」という例を挙げた。,老師舉了「貶低他人的作品」這個例子。
n1_0088,文章では「籠もる」を慎重に使う。,寫文章時要謹慎使用「悶在、籠罩」。
n1_0089,発表では「寒さが一段と冴える」と説明した。,發表時說明為「寒意更加刺骨」。
n1_0090,筆者は「さぞ」を用いて、前後の文脈のつながりをより明確にしています。,作者使用「さぞ」，讓前後文的連結更加明確。
n1_0091,飲みすぎは翌日に差し支える。,喝多了會影響第二天
n1_0092,記事には「反乱が定まった」と書かれていた。,報導中寫著「叛亂平息了」。
n1_0093,先生は「目標を定める」という例を挙げた。,老師舉了「設定目標」這個例子。
n1_0094,筆者は「然も」を用いて、前後の文脈のつながりをより明確にしています。,作者使用「然も」，讓前後文的連結更加明確。
n1_0095,発表では「強いて言えば」と説明した。,發表時說明為「硬要我說的話」。
n1_0096,秋は読書に親しむ絶好の季節だ。,秋天是閱讀的最好季節
n1_0097,家庭のしつけがちゃんとしている。,家庭教育做得很好；家教很嚴
n1_0098,記事には「売れ行きが渋る」と書かれていた。,報導中寫著「銷路不暢」。
n1_0099,先生は「曖昧な態度に終始する」という例を挙げた。,老師舉了「態度始終不明瞭」這個例子。
n1_0100,資料の中で「柔軟な態度」が使われている。,資料中使用了「靈活的態度」。
n1_0101,この場面で「白ける」と表現できるか確認した。,確認這個情境能不能用「掃興、冷場」來表達。
n1_0102,すがすがしい朝の空気。,清晨的空氣十分清新。
n1_0103,会議で「すこぶる気に入っている」という表現を使った。,會議中用了「非常喜歡」這個表達。
n1_0104,その判断は一見合理的でも、当事者にはすばしっこいものとして受け止められました。,那個判斷乍看合理，但當事人將其感受為「敏捷、機靈」。
n1_0105,「すり替える」の使い方に注意する。,注意「偷換」的用法。
n1_0106,村の入り口には鉄塔がそびえている。,村莊的入口處矗立著一座鐵塔
n1_0107,発表では「話をそらす」と説明した。,發表時說明為「轉移話題」。
n1_0108,たくましい生命力。,頑強的生命力。
n1_0109,会議で「巧みにその場を取り繕う」という表現を使った。,會議中用了「巧妙地掩飾過去」這個表達。
n1_0110,記事には「寝不足でだるい」と書かれていた。,報導中寫著「因睡眠不足而懶倦」。
n1_0111,筆者は「ちやほや」を用いて、前後の文脈のつながりをより明確にしています。,作者使用「ちやほや」，讓前後文的連結更加明確。
n1_0112,挑発をめぐって意見が分かれている。,圍繞「挑釁」出現了不同意見。
n1_0113,発表では「終わりを告げる」と説明した。,發表時說明為「宣告結束」。
n1_0114,授業で「辻褄」という語を扱った。,課堂上學到「條理、前後一致」這個詞。
n1_0115,会議で「不安が募る」という表現を使った。,會議中用了「越來越不安」這個表達。
n1_0116,記事には「手がかりをつかむ」と書かれていた。,報導中寫著「掌握線索」。
n1_0117,先生は「食事の手配をする」という例を挙げた。,老師舉了「安排用餐」這個例子。
n1_0118,資料の中で「手本を見て書く」が使われている。,資料中使用了「看著字帖寫」。
n1_0119,電話で事務局に会議の日程を問い合わせる。,打電話給事務局詢問會議的日程
n1_0120,同情を引く。,引起同情。
n1_0121,会議で「とっさに身をかわす」という表現を使った。,會議中用了「猛然一閃身」這個表達。
n1_0122,この場面で「惚ける」と表現できるか確認した。,確認這個情境能不能用「裝傻、發呆」來表達。
n1_0123,先生は「乏しい生活に耐える」という例を挙げた。,老師舉了「忍受貧苦的生活」這個例子。
n1_0124,資料の中で「交通違反の取り締まり」が使われている。,資料中使用了「交通違規的取締」。
n1_0125,何とぞよろしくお願いします。,請多關照
n1_0126,その判断は一見合理的でも、当事者には生温いものとして受け止められました。,那個判斷乍看合理，但當事人將其感受為「微溫、不徹底」。
n1_0127,文章では「妬む」を慎重に使う。,寫文章時要謹慎使用「嫉妒」。
n1_0128,記事には「テレビゲームにはまる」と書かれていた。,報導中寫著「熱衷於電子遊戲」。
n1_0129,アジア、ひいては世界の平和に影響を与える。,為亞洲甚至世界的和平帶來影響
n1_0130,資料の中で「砂糖を控えめにする」が使われている。,資料中使用了「少放點糖」。
n1_0131,この場面で「引き下げる」と表現できるか確認した。,確認這個情境能不能用「拉低、降低」來表達。
n1_0132,成功の秘訣を伝授する。,傳授成功的秘訣。
n1_0133,会議で「畑が水に浸る」という表現を使った。,會議中用了「田地被水淹沒」這個表達。
n1_0134,記事には「残業が多くて悲鳴を上げる」と書かれていた。,報導中寫著「加班多得叫苦不迭」。
n1_0135,先生は「私は危険などにひるまない」という例を挙げた。,老師舉了「我不畏懼危險」這個例子。
n1_0136,資料の中で「不意の来客」が使われている。,資料中使用了「不速之客」。
n1_0137,これ以上膨れると破裂する危険性がある。,再膨脹下去有破裂的危險
n1_0138,車が道を塞いでいて邪魔だ。,車堵住了路很礙事。
n1_0139,会議で「洗ったグラスを伏せておく」という表現を使った。,會議中用了「把洗過的杯子扣起來放」這個表達。
n1_0140,記事には「人前で変な振りをするな」と書かれていた。,報導中寫著「在人前不要出怪樣」。
n1_0141,先生は「お祝いに酒を振る舞う」という例を挙げた。,老師舉了「為表示祝賀請喝酒」這個例子。
n1_0142,文章では「隔たる」を慎重に使う。,寫文章時要謹慎使用「相隔、有差距」。
n1_0143,この場面で「謙る」と表現できるか確認した。,確認這個情境能不能用「謙遜、卑躬」來表達。
n1_0144,「発作」について調べた。,查了「發作」這個詞。
n1_0145,会議で「国が滅びる」という表現を使った。,會議中用了「國家滅亡」這個表達。
n1_0146,この場面で「勝る」と表現できるか確認した。,確認這個情境能不能用「勝過、優於」來表達。
n1_0147,状況はしだいに全うになり、冷静な判断が求められました。,情況逐漸變得「完成、正派」，因此需要冷靜判斷。
n1_0148,失踪宣告を受けた者は死亡したと見なす。,被宣告失蹤的人，視為已經死亡
n1_0149,発表では「無限の可能性」と説明した。,發表時說明為「無限的可能性」。
n1_0150,「毟る」の使い方に注意する。,注意「拔、揪」的用法。
n1_0151,会議で「内容のむなしい文章」という表現を使った。,會議中用了「內容空洞的文章」這個表達。
n1_0152,記事には「簡単明瞭に述べる」と書かれていた。,報導中寫著「簡單明瞭地敘述」。
n1_0153,先生は「目覚ましい発展を遂げる」という例を挙げた。,老師舉了「取得驚人的發展」這個例子。
n1_0154,資料の中で「目まぐるしい世の中」が使われている。,資料中使用了「令人目不暇給的人世間」。
n1_0155,発表では「海外進出をもくろむ」と説明した。,發表時說明為「謀劃進軍海外」。
n1_0156,大雨が被害をもたらした。,豪雨成災。
n1_0157,遠来の客を手料理でもてなす。,用親手做的菜餚款待遠道而來的客人
n1_0158,授業で「安らぎ」という語を扱った。,課堂上學到「安寧、平靜」這個詞。
n1_0159,先生は「ネクタイがゆがむ」という例を挙げた。,老師舉了「領帶歪了」這個例子。
n1_0160,資料の中で「揺さぶって目を覚まさせる」が使われている。,資料中使用了「搖醒」。
n1_0161,発表では「福祉事業に身を委ねる」と説明した。,發表時說明為「獻身於福利事業」。
n1_0162,政権の屋台骨が揺らぐ。,政權岌岌可危。
n1_0163,会議で「注意を要する」という表現を使った。,會議中用了「需要注意」這個表達。
n1_0164,記事には「派手に装う」と書かれていた。,報導中寫著「打扮得很華麗」。
n1_0165,先生は「ろくにご飯も食べていない」という例を挙げた。,老師舉了「連飯都沒好好吃」這個例子。
n1_0167,文章中に「アワー」が出てきた。,文章中出現了「小時；時段」這個詞。
n1_0169,彼女との一刻も大切にしたい。,我想珍惜與她的每一刻
n1_0170,この場面で「遅らす」と表現できるか確認した。,確認這個情境能不能用「延遲、拖延」來表達。
n1_0171,先生は「三千円きっかりしかない」という例を挙げた。,老師舉了「只有三千日圓整」這個例子。
n1_0172,「ゴールデンタイム」について調べた。,查了「黃金時段」這個詞。
n1_0177,「ずるずる」の使い方に注意する。,注意「拖拖拉拉；滑溜；吸麵等聲音」的用法。
n1_0178,資料の中で「意見のずれがある」が使われている。,資料中使用了「意見有分歧」。
n1_0179,発表では「レポートの提出をせかす」と説明した。,發表時說明為「催促交報告」。
n1_0180,「即座に」について調べた。,查了「立即、馬上」這個詞。
n1_0181,会議で「政策が実情に即していない」という表現を使った。,會議中用了「政策與實際情況不符」這個表達。
n1_0182,授業で「タイト」という語を扱った。,課堂上學到「緊的、貼身的；行程緊湊的」這個詞。
n1_0187,文章中に「束の間」が出てきた。,文章中出現了「一瞬間、轉眼間、轉瞬」這個詞。
n1_0188,記事には「時折鳥の鳴き声が聞こえる」と書かれていた。,報導中寫著「時而聽到鳥叫聲」。
n1_0190,資料の中で「末期癌」が使われている。,資料中使用了「癌症末期」。
n1_0191,文章中に「持ち切り」が出てきた。,文章中出現了「滿是某個話題；始終談論某事」這個詞。
n1_0192,「余暇」について調べた。,查了「閒暇、業餘時間」這個詞。
n1_0193,会議で「時間にルーズだ」という表現を使った。,會議中用了「沒有時間觀念」這個表達。
n1_0194,記事には「隔週のミーティング」と書かれていた。,報導中寫著「每兩週一次的會議」。
n1_0195,文章中に「元年」が出てきた。,文章中出現了「元年」這個詞。
n1_0197,発表では「景気にはサイクルがある」と説明した。,發表時說明為「經濟發展是有週期的」。
n1_0198,授業で「終日」という語を扱った。,課堂上學到「整天、終日」這個詞。
n1_0199,文章中に「スプリング」が出てきた。,文章中出現了「春天、彈簧、跳躍、彈跳」這個詞。
n1_0200,先だっての晩、知らせが届いた。,前幾天晚上消息傳來了
n1_0201,祖父は晩年を故郷で静かに過ごした。,祖父晚年在故鄉安靜地生活。
n1_0204,夕暮れになると、町の灯りがともり始める。,到了黃昏，街上的燈開始亮起。
n1_0205,事故の経緯を詳しく説明してください。,請詳細說明事故的經過。
n1_0206,古の都には今も多くの寺が残っている。,古都至今仍保留許多寺院。
n1_0207,原因は未だ明らかになっていない。,原因至今仍未明朗。
n1_0208,その件については、かねてより相談を受けていた。,關於那件事，先前就有人找我商量過。
n1_0209,この制度は元来、学生を支援するためのものだ。,這項制度原本是為了支援學生。
n1_0210,事件の経緯を時系列で整理した。,我按照時間順序整理了事件的原委。
n1_0211,古代の人々の暮らしを資料から読み解く。,我們從資料中解讀古代人的生活。
n1_0213,薬を飲めば、じきに熱は下がるでしょう。,吃了藥之後，應該很快就會退燒。
n1_0214,店はニューオープンの記念セールを行っている。,店家正在舉辦新開幕紀念特賣。
n1_0216,町の変遷を写真でたどる展示を見た。,我看了用照片回顧城鎮變遷的展覽。
n1_0219,都市部では人口過密が深刻な問題になっている。,都市地區人口過密已成為嚴重問題。
n1_0221,この機械は一定の周期で点検する必要がある。,這台機器需要依固定週期檢查。
n1_0222,式の日取りを家族で相談した。,家人一起討論了典禮日期。
n1_0223,彼女は高校生のころに一度家出をした。,她高中時曾離家出走過一次。
n1_0224,記者たちは一斉にカメラを構えた。,記者們同時舉起相機。
n1_0226,この椅子は作りがしっかりしている。,這張椅子的結構很紮實。
n1_0227,丘の上に古い邸宅が建っている。,山丘上有一棟古老宅邸。
n1_0229,外出前に戸締まりを確認した。,出門前我確認了門窗是否鎖好。
n1_0230,台風で周辺の店は軒並み休業した。,因為颱風，周邊店家全都休業。
n1_0231,仕事の都合で夫婦はしばらく別居している。,夫妻因工作關係暫時分居。
n1_0232,インターホンが鳴ったので玄関へ向かった。,門口對講機響了，我走向玄關。
n1_0233,祖母は縁側でお茶を飲んでいた。,祖母坐在緣廊喝茶。
n1_0235,車をガレージに入れてから家に入った。,我把車停進車庫後才進屋。
n1_0238,壊れた自転車を道端に放置してはいけない。,不可以把壞掉的腳踏車丟在路邊不管。
n1_0239,その政治家は広い屋敷に住んでいる。,那位政治人物住在寬敞宅邸裡。
n1_0240,会議室の中央に大きな机を据えた。,我們在會議室中央擺了一張大桌子。
n1_0241,家族は茶の間に集まってテレビを見ていた。,家人聚在起居室看電視。
n1_0242,食器を流しに置いたまま出かけた。,我把餐具放在流理臺就出門了。
n1_0243,医師に入浴を控えるよう言われた。,醫師叫我暫時不要洗澡。
n1_0244,大雨の後、地下室の排水を急いだ。,大雨過後，我們趕緊排掉地下室的水。
n1_0245,会場の入り口にスタッフを配置した。,我們在會場入口配置了工作人員。
n1_0246,この部屋には小さなユニットバスが付いている。,這個房間附有小型整體浴室。
n1_0248,旅館には和式の部屋が多い。,那間旅館有很多日式房間。
n1_0249,彼は十年以上台湾に居住している。,他在台灣居住超過十年。
n1_0251,このスープはあっさりしていて飲みやすい。,這道湯很清淡，容易入口。
n1_0252,父は甘口のカレーが好きだ。,父親喜歡甜口味的咖哩。
n1_0255,食べかけのパンを机に置いたままだった。,我把吃到一半的麵包放在桌上。
n1_0256,硬い肉をなかなか噛み切れなかった。,那塊肉很硬，我一直咬不斷。
n1_0259,魚の生臭いにおいが台所に残っている。,廚房裡還留著魚腥味。
n1_0260,子どもはアイスを少しずつなめていた。,孩子一點一點舔著冰淇淋。
n1_0261,朝市にはみずみずしい野菜が並んでいた。,早市擺滿了新鮮水嫩的蔬菜。
n1_0262,茶会の席で、その方は上品な和服を召していた。,茶會上，那位先生穿著典雅的和服。
n1_0263,弁当に梅干しを一つ入れた。,我在便當裡放了一顆梅乾。
n1_0264,正月には家族でお節料理を食べる。,過年時家人一起吃日式年菜。
n1_0265,友人はノンアルコールのカクテルを注文した。,朋友點了一杯無酒精雞尾酒。
n1_0266,チームの頭として責任を負う。,身為團隊首領，他必須負責。
n1_0267,冷蔵庫でゼリーを冷やしておいた。,我事先把果凍放在冰箱冷藏。
n1_0268,正月の朝に雑煮を食べた。,元旦早上我吃了日式年糕湯。
n1_0270,彼の演奏から強い熱量が伝わってきた。,他的演奏傳達出強烈熱情。
n1_0271,避難所で水と食料が配給された。,避難所配給了水和食物。
n1_0272,この漬物は歯応えがよい。,這道醃菜很有嚼勁。
n1_0274,粉末の薬を水に溶かして飲む。,把粉末藥溶在水裡喝。
n1_0275,料理の腕前を友人に褒められた。,朋友稱讚我的料理手藝。
n1_0276,彼の一言が会議をかき回した。,他的一句話攪亂了會議。
n1_0277,説明には切れ目がなく、聞いていて疲れた。,說明完全沒有停頓，聽起來很累。
n1_0278,雨で遠くの山が白く煙って見えた。,遠方的山因雨而顯得白濛濛。
n1_0279,最後の仕上げに少し塩を加えた。,最後收尾時加了一點鹽。
n1_0280,肉に下味をつけてから焼く。,肉先預先調味後再烤。
n1_0281,この菓子の製法は代々受け継がれている。,這種點心的製法代代相傳。
n1_0282,牛乳の代用として豆乳を使った。,我用豆漿代替牛奶。
n1_0284,家具の色と壁の色がよく調和している。,家具顏色和牆色很協調。
n1_0285,ケーキに細かなデコレーションを施した。,蛋糕上做了細緻裝飾。
n1_0286,熱湯を注ぐときは火傷に注意してください。,倒熱水時請小心燙傷。
n1_0289,この地域は美しい織物で知られている。,這個地區以美麗織品聞名。
n1_0291,袋を開けたままにしたので、せんべいが湿気った。,因為袋子沒關好，仙貝受潮了。
n1_0292,寒くなったのでジャンパーを羽織った。,天氣變冷，我穿上短外套。
n1_0293,会議には黒いスラックスで出席した。,我穿黑色西裝褲出席會議。
n1_0294,茶碗と皿が揃いで売られていた。,碗和盤子成套販售。
n1_0296,顔のたるみが気になってきた。,我開始在意臉部鬆弛。
n1_0297,寒い日はハイネックのセーターを着る。,冷天我會穿高領毛衣。
n1_0298,彼女はパーティーのために華やかに着飾った。,她為了派對盛裝打扮。
n1_0299,ペットボトルのキャップをしっかり閉めた。,我把寶特瓶瓶蓋確實蓋緊。
n1_0300,母から古い首飾りを譲り受けた。,我從母親那裡接下了一條舊項鍊。
n1_0301,休日はジーパンで過ごすことが多い。,假日我常穿牛仔褲度過。
n1_0302,強い力で針金がねじれた。,鐵絲因強力而扭曲。
n1_0303,古い塗装が雨で剥げた。,舊油漆因雨剝落了。
n1_0306,靴ひもがほどけている。,鞋帶鬆開了。
n1_0307,緊張をほぐすために肩の力を緩めた。,為了放鬆緊張，我放鬆了肩膀。
n1_0309,低い門をくぐって庭に入った。,我穿過低矮的門進入庭院。
n1_0312,衣装を作るためにスリーサイズを測った。,為了製作服裝，我量了三圍。
n1_0313,彼は体格がよく、スポーツに向いている。,他體格很好，適合運動。
n1_0315,温泉にゆっくり浸かって疲れを取った。,我慢慢泡溫泉消除疲勞。
n1_0316,手入れされた髪がつやつやしている。,保養過的頭髮很有光澤。
n1_0317,相手も生身の人間だということを忘れてはいけない。,不能忘記對方也是活生生的人。
n1_0318,厳しい練習で肉体を鍛えた。,透過嚴格訓練鍛鍊身體。
n1_0319,海で遊んで顔が日焼けした。,在海邊玩後，臉曬黑了。
n1_0320,大きな音が窓ガラスを震わした。,巨大的聲響震動了窗玻璃。
n1_0322,一目で彼が疲れていると分かった。,一眼就看出他很累。
n1_0324,彼は何も言わずにうつむいた。,他什麼都沒說，只低下頭。
n1_0325,彼女は不安そうな顔付きで話を聞いていた。,她帶著不安的表情聽著。
n1_0326,彼は研究に全力を傾けている。,他全心投入研究。
n1_0327,医師は眼球の動きを確認した。,醫師確認了眼球活動。
n1_0328,遠くの建物までくっきり見える。,連遠處的建築都看得很清楚。
n1_0329,今日は眼鏡ではなくコンタクトをつけた。,今天我戴的是隱形眼鏡，不是眼鏡。
n1_0330,この素材には適度な弾力がある。,這種材料有適度彈性。
n1_0331,大きな音で一時的に聴覚が鈍った。,巨大的聲響讓聽覺暫時變遲鈍。
n1_0332,緊張で唾を飲み込んだ。,我緊張得吞了口水。
n1_0333,彼の小さな呟きは誰にも聞こえなかった。,他的小聲低語誰也沒聽見。
n1_0334,彼女は不満を小声で呟いた。,她小聲嘟囔著不滿。
n1_0335,赤ちゃんのつぶらな瞳が印象的だった。,嬰兒圓滾可愛的眼睛令人印象深刻。
n1_0336,彼は静かに目をつぶった。,他靜靜閉上眼睛。
n1_0337,首に小さなでき物ができた。,脖子上長了一個小腫包。
n1_0339,睡眠不足でにきびが増えた。,因為睡眠不足，青春痘變多了。
n1_0340,その話は初耳だ。,那件事我是第一次聽說。
n1_0341,新しいソファは張りがあって座りやすい。,新沙發很有彈性，坐起來很舒服。
n1_0342,ここで一息入れてから出発しよう。,在這裡喘口氣再出發吧。
n1_0343,寒さでほっぺたが赤くなった。,臉頰因寒冷變紅了。
n1_0344,瞬きするのも惜しいほど美しい景色だった。,那景色美得讓人連眨眼都覺得可惜。
n1_0345,彼は太い眉が印象的だ。,他粗眉毛令人印象深刻。
n1_0346,最後の一人が出るまで見届けた。,我確認到最後一個人離開為止。
n1_0347,小さな異変を見逃さないよう注意した。,我注意不要漏看任何小異常。
n1_0348,山頂からの見晴らしは最高だった。,從山頂望出去的景色棒極了。
n1_0350,彼の目付きが急に鋭くなった。,他的眼神突然變得銳利。
n1_0353,荷物を無理に箱へ押し込んだ。,我硬把行李塞進箱子裡。
n1_0354,ここまで壊れると、修理はもうお手上げだ。,壞到這種程度，維修已經沒辦法了。
n1_0355,駆け足で駅まで向かった。,我快步趕往車站。
n1_0356,背後から危険が忍び寄っていた。,危險正從背後悄悄逼近。
n1_0357,警察は現場に残された指紋を調べた。,警方調查了留在現場的指紋。
n1_0358,ボールが高くジャンプした。,球高高彈起。
n1_0359,入場には身分証の所持が必要だ。,入場需要攜帶身分證件。
n1_0360,彼は会議の途中で席を立ち去った。,他在會議中途離席。
n1_0363,出発前に必要な手筈を整えた。,出發前已安排好必要準備。
n1_0365,古い布団のほこりをはたいた。,我拍掉舊棉被上的灰塵。
n1_0366,砂浜を裸足で歩いた。,我赤腳走在沙灘上。
n1_0367,猫に腕を引っ掻かれた。,我的手臂被貓抓了。
n1_0368,読み終えた新聞をかばんに放り込んだ。,我把讀完的報紙丟進包包。
n1_0370,肝心なところでミスをしてしまった。,我在關鍵地方出了錯。
n1_0371,コツをつかめば、この作業は難しくない。,抓到訣竅後，這項作業並不難。
n1_0372,医師は内臓の状態を詳しく調べた。,醫師詳細檢查了內臟狀況。
n1_0373,風船が突然破裂して、子どもが驚いた。,氣球突然破裂，孩子嚇了一跳。
n1_0376,彼とは同い年なので話が合う。,我和他同年，所以很聊得來。
n1_0377,二人は再会する宿命だったのかもしれない。,兩人也許命中注定會重逢。
n1_0378,出生の記録を役所で確認した。,我在公所確認了出生紀錄。
n1_0379,この調査ではセックスと年齢を尋ねている。,這份調查詢問性別與年齡。
n1_0380,二人の距離は少しずつ縮まった。,兩人的距離一點一點縮短了。
n1_0381,湿った場所では細菌が繁殖しやすい。,潮濕的地方細菌容易繁殖。
n1_0382,地震の後、家族の安否を確認した。,地震後，我確認了家人的安危。
n1_0383,事故の後、彼は意識不明の状態が続いた。,事故後，他持續處於意識不清狀態。
n1_0385,古い木造の家が雨風で朽ちていく。,老舊木造房屋因風吹雨打逐漸腐朽。
n1_0386,子どもの健全な成長を支える環境が必要だ。,需要能支持孩子健全成長的環境。
n1_0388,大雪で村への交通が途絶えた。,大雪導致通往村子的交通中斷。
